name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
,,,,,,,,,,,,,,,,,,
#DroneLib,,,,,,,,,,,,,,,,,,
#Heavy PD Drone Forge,expsp_attackfunnelforge,2,,Machina Void Shipyards,offensive,,,,,,10,15,20,25,data.hullmods.expsp_attackfunnelSubsysHullmod,Installs a compact nanoforge to create a pair of Attack Funnel drones to defend the parent vessel. Incompatible with PD Drone Forge.,,graphics/hullmods/expsp_droneforge.png
#PD Drone Forge,expsp_attackfunnelforge1,2,,Machina Void Shipyards,offensive,,,,,,5,10,15,20,data.hullmods.expsp_attackfunnelSubsysHullmodSingle,Installs a compact nanoforge to create a Attack Funnel PD drone to defend the parent vessel. Incompatible with Heavy PD Drone Forge.,,graphics/hullmods/expsp_droneforge.png
#MK88 Forge,expsp_supportdroneforge,2,,Machina Void Shipyards,offensive,,,,TRUE,,5,10,15,20,data.hullmods.expsp_supportdroneSubsysHullmod,Installs a compact nanoforge to create four MK88 drones to defend the parent vessel. Incompatible with PD Drone Forge hullmods.,,graphics/hullmods/expsp_droneforge.png
,,,,,,,,,,,,,,,,,,
MVS Siege Retrofit Package,expsp_siegeretrofitpackage,,,Machina Void Shipyards,,,,,TRUE,,10,15,25,40,data.hullmods.expsp_siegeretrofitpackage,"A comprehensive retrofit package designed to specialize MVS vessels for siege warfare. Extends the range of ballistic and energy weapons by a flat %s/%s/%s/%s SU, depending on hull size. Futhermore, enhanced ammo loaders improve ammunition regeneration by %s for ballistic and enegy weapons. Projectile velocity is improved by %s. Extra plating is added to the vessel, improving armor by a flat %s units. However, these upgrades cause undue stress on the engines, causing engines to take %s more damage and decreases speed by %s.","Increases Ballistic/Energy weapon range, ammo regeneration, armor, and range, but decreases speed and engine health.",graphics/hullmods/expsp_siegeretrofitpackage.png
,,,,,,,,,,,,,,,,,,
#builtins,,,,,,,,,,,,,,,,,,
Blast Hardening,blasthardening,,,Machina Void Shipyards,,,,,TRUE,,0,0,0,0,data.hullmods.BlastHardening,"Specialied armor components are installed in the Korsettes-class's hull, reducing damage from ship explosions by %s percent.",Reduces damage from ship explosions.,graphics/hullmods/blast_doors.png
