name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Built-in Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigapulser,vice_gigapulser,3,,100000,800,,900,,0,5,,,,,ENERGY,675,,1,7.5,3,0.25,0,0,0,0,,1000,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES",,TPC_only,,,Strike,,,,,,,,,,28.1
Hydromagnetic Cannon,vice_hmc,3,,100000,1200,,900,,300,0,,,,,KINETIC,1200,,0.5,2.5,,,,,,,,1200,,,400,,,"SYSTEM, SHOW_IN_CODEX","kinetic20, LR",,Remnant,,General,,,,,Each impact against exposed armor or hull has a chance to degrade the target's %s by %s. Loss of armor at the site of impact increases odds of applying penalty.,Combat Readiness | 1%,,,,40.1
Hellfire SDEM,vice_hellfire,3,,0,1000,4000,,,,0,,4,0.1,,ENERGY,,2400,0.1,0.2,0.9,6.8,,,,,1000000,,,,,,,"SYSTEM, SHOW_IN_CODEX, CONSERVE_3, STRIKE, USE_VS_FRIGATES","beam20, energy20, LR",,,,Strike,,,,,,,,,,16.02
Hellfire Targeting Laser,vice_hellfire_targeting,0,,0,1200,1,,,,0,,,,,ENERGY,,,0,0.1,,,,,,,1000000,,,,,,,"SYSTEM, SHOW_IN_CODEX, STRIKE, USE_VS_FRIGATES","beam0, energy0",,,,Intimidation,,,,,,,,,,16.03
Interdictor Pulse Emitter,vice_interdictor_pulse,,,,2500,,1,,,,,1,0.1,,KINETIC,0,,0,0,2,0.1,0,0,0,0,,100,0,0.1,500,,,SYSTEM,,,,,,,,,,,,,,,41.1
    Interdictor Payload,vice_interdictor_payload,2,,0,2500,2000,,,,100,,1,,,KINETIC,0,,0,0.33,0.9,,,,,,1000000,,,,,,,SYSTEM,fires_one_burst,,,,,,,,,,,,,TRUE,41.2
    Interdictor Deco Laser,vice_deco_laser,,,,1,1,,,,,,,,,ENERGY,,,0,0.1,,,,,,,1000000,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Micro-Missile Launcher,vice_mml,0,,0,1400,,200,,5,30,,6,3,6,FRAGMENTATION,0,,0,0.1,6,0.3,0,0,0,0,,400,100,6,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility5, missile5",,,,Anti Small Craft,Fast,Excellent,,,,,,,,16.3
Spatial Charge Launcher,vice_spatial_charge,0,,0,1500,,150,300,0,0,,,,,ENERGY,0,,0,2,2,0.5,0,0,0,0,,400,400,3,300,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","utility5, missile5",,,,Special,Very Slow,None,,,"Not affected by missile speed, acceleration, and flight time modifiers.",,,,,16.3
Neutron Autolance,vice_neutron_autolance,0,,0,1000,500,,,0,20,,40,4,20,KINETIC,,600,0,0,0.1,0,,,,,1000000,,,,,,,"SYSTEM, SHOW_IN_CODEX, FIRE_WHEN_INEFFICIENT, DO_NOT_CONSERVE","beam15, energy15",,,,Anti Shield,,,,,Inflicts %s against shields.,hard flux,,,,21.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighter Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balefire Emitter,vice_balefire_emitter,3,,0,800,1500,,,,0,,1,,,ENERGY,,0,0.1,0.2,0.9,0,,,,,1000000,,,,,,,"SYSTEM, STRIKE",beam9,,,,Strike,,,,,,,,,TRUE,16.5
